Year,Month,Hour,NEE_f,LE_f,H_f,Rg_f,VPD_f,rH_f,Tair_f,GPP_f,Reco, ,NEE,NEE_sqc,LE,LE_sqc,H,H_sqc,Rg,Rg_sqc,VPD,VPD_sqc,rH,rH_sqc,Tair,Tair_sqc
--,--,--,umol_m-2_s-1,Wm-2,Wm-2,Wm-2,hPa,%,degC,umol_m-2_s-1,umol_m-2_s-1,,umol_m-2_s-1,--,Wm-2,--,Wm-2,--,Wm-2,--,hPa,--,%,--,degC,--
2023,1,00:00,0.290423238238581,1.83076010898983,-0.677615553030303,0.0555777777777778,0.00924857148559316,99.4989835033592,-7.93054128169743,-0.179137351132209,0.111285887106372, ,0.443867333333333,0.2,1.950793,0.233333333333333,-0.425607090909091,0.366666666666667,0.0530769230769231,0.433333333333333,0.0110823538544598,0.233333333333333,99.31625916,0.233333333333333,-10.5642857142857,0.233333333333333
2023,1,00:30,0.233024399245689,1.80460373289985,-1.08915029174271,0.0512258064516129,0.00999418620404176,99.4449506413811,-8.53189895823658,-0.123918768055609,0.10910563119008, ,0.1157575,0.129032258064516,1.62176383333333,0.193548387096774,-3.019727,0.32258064516129,0.0438461538461538,0.419354838709677,0.00896900174635422,0.258064516129032,99.4309006225,0.258064516129032,-9.17625,0.258064516129032
2023,1,01:00,0.247883508668011,2.12636209491935,0.870281525574291,0.0669247311827957,0.0109683130408519,99.4051932195326,-9.16027906452298,-0.15006303298346,0.0978204756845509, ,0.423379833333333,0.193548387096774,2.43437583333333,0.193548387096774,2.32534709090909,0.354838709677419,0.0761538461538462,0.419354838709677,0.011719276568755,0.193548387096774,99.255011235,0.193548387096774,-11.47,0.193548387096774
2023,1,01:30,0.213975327716341,2.66233728815125,0.440267169738128,0.0625161290322581,0.0106214083713403,99.4212452999832,-9.10196115164252,-0.114980905881498,0.0989944218348427, ,0.36557,0.0967741935483871,3.740144,0.193548387096774,0.466204272727273,0.354838709677419,0.0646153846153846,0.419354838709677,0.0113208018587453,0.193548387096774,99.27532157,0.193548387096774,-11.455,0.193548387096774
2023,1,02:00,0.192842510974582,2.97245365894777,0.248542353738766,0.057741935483871,0.0100888132966118,99.4382485509915,-9.20308139903776,-0.0952040343649587,0.097638476609623, ,0.0797216,0.161290322580645,3.25057933333333,0.193548387096774,-0.2258522,0.32258064516129,0.0515384615384615,0.419354838709677,0.0110765874677379,0.193548387096774,99.2833649916667,0.193548387096774,-12.0016666666667,0.193548387096774
2023,1,02:30,0.219375218805551,3.72129904042924,0.0535172999764931,0.049247311827957,0.00939602983624598,99.4624806842963,-9.0535021111426,-0.117844303077717,0.101530915727834, ,0.270993833333333,0.193548387096774,3.494302,0.161290322580645,1.72445822222222,0.290322580645161,0.0453846153846154,0.419354838709677,0.0105916914834575,0.193548387096774,99.309552,0.193548387096774,-11.3916666666667,0.193548387096774
2023,1,03:00,0.210877961761174,3.84683884261107,0.639560122962924,0.0473548387096774,0.00904536588308559,99.4815791265236,-9.05751977356283,-0.109559136097611,0.101318825663563, ,0.0739733333333333,0.0967741935483871,4.79085333333333,0.193548387096774,0.778931090909091,0.354838709677419,0.0507692307692308,0.419354838709677,0.0101146169947037,0.193548387096774,99.3362646883333,0.193548387096774,-11.475,0.193548387096774
2023,1,03:30,0.229138814857591,3.85295554980632,0.341524786697641,0.0294193548387097,0.00846023928405186,99.5124340547988,-8.92432430423782,-0.127298674982079,0.101840139875512, ,0.1391592,0.161290322580645,4.65179625,0.258064516129032,-0.282450833333333,0.387096774193548,0.0169230769230769,0.419354838709677,0.00929472785509045,0.193548387096774,99.37481364,0.193548387096774,-11.56,0.193548387096774
2023,1,04:00,0.290212600118324,3.2449845330381,0.232557390586171,0.0272258064516129,0.00672252181177921,99.6048421004031,-8.08647828808781,-0.180550193215241,0.109662406903083, ,0.441882666666667,0.193548387096774,2.7632925,0.193548387096774,1.22564855555556,0.290322580645161,0.0184615384615385,0.419354838709677,0.0081787804602451,0.193548387096774,99.4313164533333,0.193548387096774,-11.575,0.193548387096774
2023,1,04:30,0.238354475423043,3.07566860481165,0.309880635842261,0.0284086021505376,0.00525105398630376,99.6491799096866,-8.01667573971662,-0.128544957987735,0.109809517435308, ,0.1352029,0.161290322580645,3.1503425,0.258064516129032,0.655943,0.32258064516129,0.0238461538461538,0.419354838709677,0.00697964500109088,0.225806451612903,99.5171216671429,0.225806451612903,-10.3757142857143,0.225806451612903
2023,1,05:00,0.272819500831997,2.84164302349674,0.780297144129841,0.0323763440860215,0.00480574688387837,99.6696289527264,-8.01360132743129,-0.163570278159513,0.109249222672484, ,0.3157225,0.193548387096774,2.862044625,0.258064516129032,0.744756454545455,0.354838709677419,0.0276923076923077,0.419354838709677,0.00609708769397901,0.225806451612903,99.55978379,0.225806451612903,-10.3828571428571,0.225806451612903
2023,1,05:30,0.277253482498316,2.60058098032829,0.436129444839625,0.0382903225806452,0.005050895439255,99.6564546739222,-8.26042089539246,-0.172199062552888,0.105054419945429, ,0.4297719,0.32258064516129,2.158457,0.354838709677419,-0.0945040833333333,0.387096774193548,0.0307692307692308,0.419354838709677,0.00585892295459424,0.193548387096774,99.5378026866667,0.193548387096774,-11.2183333333333,0.193548387096774
