Year,Month,Hour,NEE_f,LE_f,VPD_f,rH_f,Tair_f, ,NEE,NEE_sqc,LE,LE_sqc,VPD,VPD_sqc,rH,rH_sqc,Tair,Tair_sqc,CH4flux,CH4flux_sqc
--,--,--,umolm-2s-1,Wm-2,hPa,%,degC,,umolm-2s-1,--,Wm-2,--,hPa,--,%,--,degC,--,Wm-2,--
2023,1,00:00,2.32051939538,0.174027129877778,0.632362269590627,86.5906701666667,-4.77308237366667, ,1.96423681747619,0.7,0.478208,0.866666666666667,0.632362269590627,1,86.5906701666667,1,-4.27213842857143,0.933333333333333,-9999,0
2023,1,00:30,2.34541521394355,-0.126740247172043,0.743005973136605,85.2708376774194,-4.42009518504399, ,2.21163738577778,0.870967741935484,0.129954315517241,0.935483870967742,0.743005973136605,1,85.2708376774194,1,-4.06284579655172,0.935483870967742,0.0149,0.032258064516129
2023,1,01:00,2.40915440206918,-0.737366174072581,0.6983485182238,86.0825304516129,-4.48454644486804, ,2.21113901233333,0.870967741935484,-0.377916542392857,0.903225806451613,0.6983485182238,1,86.0825304516129,1,-4.07437074827586,0.935483870967742,-9999,0
2023,1,01:30,2.12670735191823,-0.590488981529032,0.668872676025695,86.5035888548387,-4.57790226865103, ,1.86923015769231,0.838709677419355,-0.347638431034483,0.935483870967742,0.668872676025695,1,86.4014868666667,0.967741935483871,-4.17259884482759,0.935483870967742,-9999,0
2023,1,02:00,2.18118139990215,-1.03563861281935,0.625647152698165,87.3531602258064,-4.72601449387097, ,2.09468434720833,0.774193548387097,-0.8650893,0.935483870967742,0.625647152698165,1,87.3531602258064,1,-4.85127287666667,0.967741935483871,0.0136,0.032258064516129
2023,1,02:30,2.04355334544946,-1.71261914,0.615392436052148,87.5506313870968,-4.77615004408602, ,2.20231826851852,0.870967741935484,-1.56450636206897,0.935483870967742,0.615392436052148,1,87.5506313870968,1,-4.31889617241379,0.935483870967742,-9999,0
2023,1,03:00,2.02052144620806,-1.69612459032258,0.609208625977628,87.7165493548387,-4.78573084982079, ,1.88402734375,0.774193548387097,-1.52157132068966,0.935483870967742,0.609208625977628,1,87.7165493548387,1,-4.91269396333333,0.967741935483871,-9999,0
2023,1,03:30,2.29667391433018,-0.859920738064516,0.615239585633334,87.7679953790323,-4.86689465483871, ,2.32868278328,0.806451612903226,-0.308365515357143,0.903225806451613,0.532669554207383,0.967741935483871,88.7025047666667,0.967741935483871,-4.99785787666667,0.967741935483871,-9999,0
2023,1,04:00,2.05653113543898,-1.29526271935484,0.631922589188962,87.5369467419355,-4.97004064470046, ,1.98716864583333,0.774193548387097,-1.12372334827586,0.935483870967742,0.631922589188962,1,87.5369467419355,1,-5.22588162758621,0.935483870967742,0.0188,0.032258064516129
