TIMESTAMP_1,Ta_1_1_1,RH_1_1_1,Rg_1_1_1,Lwin_1_1_1,Lwout_1_1_1,Swin_1_1_1,Swout_1_1_1,P_1_1_1
yyyy-mm-dd HHMM,C,%,W+1m-2,W+1m-2,W+1m-2,W+1m-2,W+1m-2,mm
2023-10-02 2330,4.06,99.82370141,1.08,333.63,334.08,1.08,1.04,0
2023-10-03 0000,4.99,99.74045198,0.55,336.19,338.38,0.55,0.93,0
2023-10-03 0030,5.19,99.83426093,0.06,337.19,340.75,0.06,0.68,0
2023-10-03 0100,5.9,99.75846983,0.49,341.53,343.21,0.49,0.79,0
2023-10-03 0130,7.01,99.35959952,0.25,342.56,346.36,0.25,0.8,0
2023-10-03 0200,7.71,99.07546972,0,344.13,349.95,0,1,0
2023-10-03 0230,7.7,99.16811227,0,342.39,350.86,0,1.14,0
2023-10-03 0300,7.76,99.279425,0,344.83,351.74,0,0.63,0
2023-10-03 0330,7.74,99.42729871,0,315.91,349.71,0,0.47,0
2023-10-03 0400,7.17,99.65589651,0,279.22,342.84,0,0.59,0
2023-10-03 0430,7.06,99.70739365,0,288.65,340.81,0,0.61,0
2023-10-03 0500,7.03,99.86888799,0,334.62,346.64,0,0.24,0
2023-10-03 0530,6.59,99.96777005,0,336.07,347.7,0,0.15,0
2023-10-03 0600,6.29,100,0,337.27,347.14,0,0.23,0
2023-10-03 0630,6.44,100,0,338.78,347.81,0,0.36,0
2023-10-03 0700,6.62,100,1.17,341.08,348.66,1.17,0.51,0
2023-10-03 0730,6.78,100,12.12,343.74,350.16,12.12,2.04,0
2023-10-03 0800,7.03,100,29.51,345.32,352.28,29.51,4.38,0
2023-10-03 0830,7.32,100,61.29,345.24,355.24,61.29,8.8,0
2023-10-03 0900,7.85,99.87901473,101.77,346.15,360.06,101.77,14.95,0
2023-10-03 0930,8.17,99.72601058,121.95,340.1,362.07,121.95,17.76,0
2023-10-03 1000,9.01,99.3834824,179.12,343.64,368.07,179.12,26.25,0
2023-10-03 1030,9.73,99.03720125,158.88,343.51,370.58,158.88,23.32,0
2023-10-03 1100,10.65,98.52166979,226.19,341.35,374.76,226.19,32.45,0
2023-10-03 1130,11.79,97.97796772,267.56,329.26,379.08,267.56,38.45,0
2023-10-03 1200,12.5,97.8373335,187.68,349.92,380.32,187.68,26.53,0
2023-10-03 1230,13.03,97.83734848,205.52,351.58,381.57,205.52,29.35,0
2023-10-03 1300,13.37,97.93067624,150.29,359.74,381.65,150.29,21.87,0
2023-10-03 1330,13.95,97.75073832,207.42,363.73,385.85,207.42,29.27,0
2023-10-03 1400,13.42,98.068227,56.02,369.5,379.29,56.02,7.47,0
2023-10-03 1430,12.55,98.97734513,60.91,369.63,376.45,60.91,8.99,0.2
2023-10-03 1500,12.2,99.4460199,47.6,369.82,375.43,47.6,7.08,0
2023-10-03 1530,12.3,99.4054252,18.52,370.37,373.96,18.52,3.57,1
2023-10-03 1600,12.26,99.56149966,30.38,371.63,374.46,30.38,4.73,0.6
2023-10-03 1630,12.34,99.59768595,19.38,372.84,374.46,19.38,3.38,0.3
2023-10-03 1700,12.44,99.59281728,9.48,373.28,374.19,9.48,2.14,0.1
2023-10-03 1730,12.55,99.64858234,5.59,373.71,374.37,5.59,1.3,0.2
2023-10-03 1800,12.62,99.68957683,4.31,374.12,374.65,4.31,0.98,0
2023-10-03 1830,12.73,99.68040941,0.48,374.56,374.77,0.48,0.69,0.1
2023-10-03 1900,12.88,99.62276681,0,374.95,375,0,0.93,0
2023-10-03 1930,13.11,99.5234303,0,375.41,375.4,0,1.09,0
2023-10-03 2000,13.28,99.49891859,0,376.06,375.86,0,0.92,0
2023-10-03 2030,13.42,99.45866916,0,375.97,376.09,0,0.82,0
2023-10-03 2100,13.52,99.42709576,0,376.97,376.63,0,0.65,0
2023-10-03 2130,13.69,99.34219721,0,377.88,377.19,0,0.58,0
2023-10-03 2200,13.91,99.25633967,0,376.67,377.61,0,0.62,0
2023-10-03 2230,13.81,99.31214368,0,375.73,377.84,0,0.36,0
2023-10-03 2300,13.74,99.32932648,0,374.86,377.73,0,0.34,0
2023-10-03 2330,13.71,99.33810084,0,365.91,377.03,0,0.34,0
2023-10-04 0000,13.63,99.37460834,0,360.37,376.03,0,0.32,0
2023-10-04 0030,13.61,99.3360773,0,345.45,374.85,0,0.41,0
2023-10-04 0100,13.54,99.28595654,0,332.62,373.27,0,0.48,0
2023-10-04 0130,13.41,99.23296156,0,318.5,371.25,0,0.63,0
2023-10-04 0200,13.34,99.13948179,0,319.09,370.71,0,0.54,0
2023-10-04 0230,13.21,99.0884695,0,326.03,370.49,0,0.48,0
2023-10-04 0300,13.22,98.95661654,0,333.88,371.02,0,0.41,0
2023-10-04 0330,13.14,98.86973183,0,325.13,369.96,0,0.4,0
2023-10-04 0400,12.96,98.85028095,0,325.24,369.07,0,0.41,0
2023-10-04 0430,12.83,98.83486923,0,332.35,368.74,0,0.36,0
2023-10-04 0500,12.77,98.76038324,0,331.61,368.33,0,0.38,0
2023-10-04 0530,12.69,98.71704537,0,334.56,368.15,0,0.37,0
2023-10-04 0600,12.7,98.62622504,0,335.56,368.27,0,0.32,0
2023-10-04 0630,12.61,98.59957616,0,317.91,366.76,0,0.35,0
2023-10-04 0700,12.49,98.596388,0,317.71,365.98,0,0.48,0
2023-10-04 0730,12.49,98.53213257,7.14,322.85,366.78,7.14,1.47,0
2023-10-04 0800,12.52,98.44593912,28.72,315.66,367.17,28.72,4.63,0
2023-10-04 0830,12.75,98.3057961,38.18,351.36,370.46,38.18,5.18,0
2023-10-04 0900,13.01,98.16910979,25.68,368.11,372.53,25.68,3.32,0
2023-10-04 0930,13.13,98.18996521,46.86,367.25,373.69,46.86,6.1,0
2023-10-04 1000,13.27,98.20794134,40.98,369.88,374.73,40.98,5.28,0
2023-10-04 1030,13.36,98.35306294,53.68,370.95,376.19,53.68,7.31,0
2023-10-04 1100,13.19,98.80553422,41.05,370.99,375.92,41.05,6.68,0.1
2023-10-04 1130,13.74,98.66100593,46.47,371,377.71,46.47,7.33,0
2023-10-04 1200,13.84,98.66811277,61.72,373.17,379.19,61.72,9.34,0.3
2023-10-04 1230,13.32,99.15748881,53.01,371.86,377.86,53.01,8.4,0.3
2023-10-04 1300,13.3,99.04742348,123.78,367.28,379.98,123.78,17.37,0.2
2023-10-04 1330,12.64,99.02919104,93.9,365.68,376.67,93.9,13.68,1
2023-10-04 1400,12.77,98.62274991,386.77,336.66,382.15,386.77,53.95,0
2023-10-04 1430,13.28,98.06253019,389.48,337.28,385.97,389.48,56.73,0
2023-10-04 1500,13.37,97.7296385,336.79,311.16,383.99,336.79,50.25,0
2023-10-04 1530,12.98,97.31534167,176.84,347.89,378.31,176.84,25.09,0
2023-10-04 1600,12.78,97.27555052,137.17,350.31,376.16,137.17,19.56,0
2023-10-04 1630,12.47,97.25671445,99.41,344.11,373.09,99.41,14.73,0
2023-10-04 1700,11.27,98.24241122,39.24,354.42,368.63,39.24,7.26,0.4
2023-10-04 1730,10.86,98.85145294,77.43,327.66,366.72,77.43,14.01,0
2023-10-04 1800,10.75,98.62228689,19.3,328.01,362.69,19.3,4.03,0
2023-10-04 1830,10.59,98.59578073,2.76,331.9,361.51,2.76,1.72,0
2023-10-04 1900,10.83,98.05529904,0,303.78,357.86,0,1.43,0
2023-10-04 1930,10.5,98.15626958,0,308.01,355.71,0,1,0
2023-10-04 2000,10,98.45826938,0,301.03,353.12,0,0.8,0
2023-10-04 2030,9.66,98.66547237,0,296.46,351.53,0,0.86,0
2023-10-04 2100,9.76,98.5608869,0,320.12,353.26,0,0.86,0
2023-10-04 2130,9.89,98.65686657,0,349.74,358.19,0,1.89,0.5
2023-10-04 2200,9.67,98.99794523,0,341.29,357.83,0,1.64,0.1
2023-10-04 2230,9.49,99.15344962,0,350.06,357.74,0,1.44,1
2023-10-04 2300,9.55,99.04031056,0,350.7,357.44,0,1.67,0
2023-10-04 2330,9.22,99.11418274,0,351.33,356.48,0,1.11,0
2023-10-05 0000,9.13,99.10512854,0,348.49,355.86,0,1.13,0
2023-10-05 0030,9.2,99.11084168,0,348.9,355.85,0,1.1,0
2023-10-05 0100,9.22,99.1434654,0,349.29,356.44,0,0.82,0
2023-10-05 0130,9.05,99.22383705,0,346.32,355.53,0,0.86,0
2023-10-05 0200,9.06,99.21804917,0,344.65,355.82,0,0.75,0
2023-10-05 0230,9.05,99.18817402,0,341.53,354.46,0,0.89,0.1
2023-10-05 0300,9.12,99.26163112,0,351.03,356.65,0,0.68,0
2023-10-05 0330,9.17,99.36263626,0,354.27,357.68,0,0.82,0
2023-10-05 0400,9.31,99.26586671,0,348.32,357.16,0,0.74,0
2023-10-05 0430,9.22,99.37303338,0,354.58,357.38,0,0.95,0.2
2023-10-05 0500,9.12,99.49874584,0,356.71,358,0,1,1.3
2023-10-05 0530,9.11,99.476781,0,356.78,358.29,0,1.02,0.1
2023-10-05 0600,9.1,99.41602107,0,356.5,358.19,0,1.08,0
2023-10-05 0630,9.07,99.42098782,0,356.19,357.94,0,1.02,0
2023-10-05 0700,9.15,99.40082453,0,356.48,358.2,0,1.02,0
2023-10-05 0730,9.24,99.27846947,6.87,354.95,358.05,6.87,2.06,0
2023-10-05 0800,9.24,99.25551101,37.22,350.72,357.8,37.22,6.22,0
2023-10-05 0830,9.37,99.11013512,96.5,350.72,359.63,96.5,14.95,0
2023-10-05 0900,9.53,98.97539287,99.16,352.87,362.11,99.16,14.21,0
2023-10-05 0930,9.97,98.72868516,222.63,348.69,366.99,222.63,33.28,0
2023-10-05 1000,10.14,98.65002844,201.04,354.58,369.81,201.04,27.82,0
2023-10-05 1030,10.44,98.52980927,188.66,358.9,372.22,188.66,25.55,0
2023-10-05 1100,10.66,98.4746797,216.6,359.96,375.03,216.6,29.88,0
2023-10-05 1130,10.71,98.48829825,153.45,360.06,373.68,153.45,20.3,0
2023-10-05 1200,10.73,98.55052049,178.45,359.34,374.77,178.45,24.08,0.1
2023-10-05 1230,10.68,98.66281116,165.69,350.06,373.01,165.69,22.14,0
2023-10-05 1300,11.1,98.02596047,229.9,340.43,374.08,229.9,30.43,0
2023-10-05 1330,11.58,97.90771034,346.01,326.01,379.96,346.01,48.62,0
2023-10-05 1400,11.63,97.59182434,121.96,351.96,373.92,121.96,16.96,0
2023-10-05 1430,11.89,97.47251815,252.58,339.21,378.06,252.58,36.48,0
2023-10-05 1500,12.43,96.96705794,205.28,343.12,378.43,205.28,29.42,0
2023-10-05 1530,12.58,96.58288901,217.88,330.53,378.3,217.88,31.33,0
2023-10-05 1600,12.89,96.51595296,241.49,338.73,380.83,241.49,36.69,0
2023-10-05 1630,12.76,96.60686764,129.27,339.71,377.46,129.27,18.11,0
2023-10-05 1700,12.26,96.75889018,27.86,355.6,371.31,27.86,4.15,0
2023-10-05 1730,10.77,98.01719192,7.86,355.84,365.93,7.86,2.97,0.1
2023-10-05 1800,9.82,99.08535653,9.05,354.7,363.66,9.05,2.92,0.2
2023-10-05 1830,9.58,99.32561792,0,358.38,362.4,0,1.46,0.2
2023-10-05 1900,9.62,99.39906963,0,358.78,361.94,0,1.35,0.2
2023-10-05 1930,9.71,99.47859747,0,359.74,362.04,0,1.21,0.2
2023-10-05 2000,9.76,99.44563374,0,358.43,360.73,0,1.21,0
2023-10-05 2030,9.74,99.46810423,0,358.8,360.32,0,1.03,0
2023-10-05 2100,9.75,99.46971918,0,359.51,360.57,0,1.17,0
2023-10-05 2130,9.77,99.40516082,0,359.45,360.23,0,1.21,0.1
2023-10-05 2200,9.82,99.23727026,0,359.27,359.6,0,1.3,0
2023-10-05 2230,9.8,99.23226892,0,357.32,360.68,0,1.68,0.7
2023-10-05 2300,9.59,99.28941236,0,352.34,360.02,0,1.65,0.2
2023-10-05 2330,9.29,99.36503769,0,354.73,359.4,0,1.42,0.1
2023-10-06 0000,9.11,99.41652406,0,355.38,359.02,0,1.36,0.2
2023-10-06 0030,8.95,99.4691566,0,355.94,358.52,0,1.36,0.7
2023-10-06 0100,8.96,99.49913503,0,355.49,358.49,0,1.33,0.5
2023-10-06 0130,8.91,99.57855857,0,356.31,358.43,0,1.07,1.1
2023-10-06 0200,8.95,99.48862782,0,355.45,358.42,0,1.19,0
2023-10-06 0230,8.95,99.45279309,0,353.04,358.3,0,1.11,0
2023-10-06 0300,8.9,99.49001029,0,349.38,357.97,0,1.08,0
2023-10-06 0330,8.89,99.47023571,0,352.03,358.11,0,0.95,0.1
2023-10-06 0400,8.85,99.54306718,0,354.3,358.13,0,1.08,0.2
2023-10-06 0430,8.86,99.53778001,0,352.69,358.01,0,1.15,0.5
2023-10-06 0500,8.8,99.58049973,0,355.6,358.03,0,1.07,0.6
2023-10-06 0530,8.81,99.52990462,0,355.62,357.82,0,1.1,0
2023-10-06 0600,8.78,99.55398399,0,355.86,357.81,0,1,0.5
2023-10-06 0630,8.69,99.59596218,0,355.17,357.45,0,1.08,1
2023-10-06 0700,8.63,99.5732152,0,354.99,356.99,0,1.09,0.2
2023-10-06 0730,8.53,99.57080759,1.94,353.01,356.24,1.94,1.23,1.3
2023-10-06 0800,8.41,99.5387163,6.78,347.07,356.13,6.78,2.06,1.1
2023-10-06 0830,8.34,99.49540993,8.94,349.23,355.94,8.94,2.36,0.5
2023-10-06 0900,7.52,99.22193475,21.45,344.86,353.69,21.45,4.35,1.3
2023-10-06 0930,6.41,99.1290293,30.86,338.91,349.3,30.86,5.24,0.3
2023-10-06 1000,6.18,99.22382598,42.54,339.3,349.26,42.54,6.52,0.1
2023-10-06 1030,5.91,98.92549383,97.26,335.13,348.96,97.26,13.42,0
2023-10-06 1100,5.56,98.96116245,109.08,333.62,348.86,109.08,14.13,0
2023-10-06 1130,4.91,99.00055718,125.1,331.32,346.74,125.1,16.11,0.3
2023-10-06 1200,4.49,99.09088557,100.65,330.43,345,100.65,13.34,0.1
2023-10-06 1230,4.25,99.06078006,86.99,329.24,343.61,86.99,11.81,0.1
2023-10-06 1300,4.04,98.86852006,81.85,326.34,341.89,81.85,10.75,0
2023-10-06 1330,4.46,98.3709356,195.56,322.94,345.63,195.56,24.7,0
2023-10-06 1400,5.38,97.71789426,351.55,297.05,351.24,351.55,46.72,0
2023-10-06 1430,5.63,97.43854383,238.36,310.67,351.55,238.36,31.73,0
2023-10-06 1500,5.59,97.14698149,186.16,309.23,349.38,186.16,25.23,0
2023-10-06 1530,5.95,96.6375949,278.68,302.76,350.49,278.68,41.91,0
2023-10-06 1600,5.79,96.2696478,168.85,277.41,346.4,168.85,24.29,0
2023-10-06 1630,6.35,95.96465273,245.77,300.23,350.6,245.77,40.47,0
2023-10-06 1700,6.19,95.91980481,148.22,280.58,345.96,148.22,25.27,0
2023-10-06 1730,5.79,96.08676519,68.92,260.57,340.71,68.92,11.41,0
2023-10-06 1800,5.16,96.43090868,41.62,266.38,336.63,41.62,7.74,0
2023-10-06 1830,4.31,96.74717163,0.71,249.15,330.21,0.71,1.62,0
2023-10-06 1900,3.25,97.03128364,0,244.83,324.53,0,1.5,0
2023-10-06 1930,2.49,97.63808511,0,243.7,322.39,0,1.61,0
2023-10-06 2000,1.43,98.52178815,0,242.03,320.33,0,1.81,0
2023-10-06 2030,1.42,98.35181201,0,241.7,320.37,0,2.57,0
2023-10-06 2100,1.24,98.43850875,0,241.3,319.66,0,1.98,0
2023-10-06 2130,0.34,99.16136857,0,240.08,317.26,0,1.71,0
2023-10-06 2200,-0.01,99.13237596,0,238.07,316.1,0,2.65,0
2023-10-06 2230,-1.01,99.76160537,0,238.15,314.66,0,1.55,0
2023-10-06 2300,-0.75,99.58815336,0,247.2,311.86,0,2.59,0
2023-10-06 2330,-0.46,99.29400827,0,257.21,312.86,0,2.36,0
2023-10-07 0000,-0.99,99.6373118,0,257.27,311.86,0,2.21,0
2023-10-07 0030,-0.79,99.64078017,0,269.66,311.65,0,2.15,0
2023-10-07 0100,-0.8,99.62927719,0,278.71,312.08,0,1.85,0
2023-10-07 0130,0.17,99.29921898,0,283.94,315.5,0,2,0
2023-10-07 0200,0.49,99.23477662,0,292.35,318.99,0,2.03,0
2023-10-07 0230,0.61,99.21623029,0,299.79,320.77,0,1.46,0
2023-10-07 0300,0.9,98.92744275,0,293.86,321.24,0,1.32,0
2023-10-07 0330,0.86,98.8579711,0,300.93,321.73,0,0.72,0
2023-10-07 0400,1.29,98.53684225,0,310.09,322.76,0,0.74,0
2023-10-07 0430,1.64,98.33626882,0,316.4,323.85,0,0.5,0
2023-10-07 0500,2.04,98.2566065,0,320.5,324.89,0,1.2,0.1
2023-10-07 0530,2.2,98.68028938,0,322.72,325.67,0,1.48,0.2
2023-10-07 0600,2.18,99.10098035,0,323.62,326.05,0,1.3,0.2
2023-10-07 0630,2.51,99.31976521,0,325.91,327.28,0,1.12,0.1
2023-10-07 0700,2.89,99.34054002,0,328.04,328.87,0,0.86,0.6
2023-10-07 0730,3.18,99.52920727,0.21,328.25,329.97,0.21,1,2.3
2023-10-07 0800,3.46,99.63399919,1.99,330,331.56,1.99,1.18,2.2
2023-10-07 0830,3.92,99.6639069,8.43,332.63,333.79,8.43,1.69,0.6
2023-10-07 0900,4.37,99.62663893,13.64,334.75,336.14,13.64,2.1,0.6
2023-10-07 0930,4.81,99.64184104,21.09,336.53,338.44,21.09,3.11,0.4
2023-10-07 1000,5.62,99.60362739,33.97,340.05,341.89,33.97,4.65,0.7
2023-10-07 1030,6.27,99.61205949,60.02,343.24,345.58,60.02,7.57,0.3
