TIMESTAMP_1,_Ta_1_1_1,RH_1_1_1,Rg_1_1_1,Lwin_1_1_1,Lwout_1_1_1,Swin_1_1_1,Swout_1_1_1,PPFD_1_1_1,P_1_1_1,P_rain_1_1_1
yyyy-mm-dd HHMM,C,%,W+1m-2,W+1m-2,W+1m-2,W+1m-2,W+1m-2,umol+1m-2s-1,mm,mm
2015-11-06 1500,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2015-11-06 1530,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2015-11-06 1600,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2015-11-06 1630,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2015-11-06 1700,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2015-11-06 1730,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2015-11-06 1800,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2015-11-06 1830,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2015-11-06 1900,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2015-11-06 1930,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2015-11-06 2000,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2015-11-06 2030,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2015-11-06 2100,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2015-11-06 2130,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2015-11-06 2200,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2015-11-06 2230,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
