Year DoY Hour NEE LE H Rg Tair rH VPD Ustar
- - - umolm-2s-1 Wm-2 Wm-2 Wm-2 degC % hPa ms-1
2023 2 0.0 -9999.0 22.83453 -9999.0 -9999.0 3.3777671 76.374954 1.8582759326994776 0.7458735
2023 2 0.5 6.5643725 23.29379 -9999.0 -9999.0 2.681493 75.512901 1.8333986598185001 0.8235238
2023 2 1.0 5.105955 14.76233 -9999.0 -9999.0 1.9395649 76.52787 1.6669224074371884 0.8144999
2023 2 1.5 3.652775833 3.086024 -9999.0 -9999.0 1.317601 78.966331 1.4286488606193641 0.7164225
2023 2 2.0 5.6146925 10.19051 -9999.0 0.0136 0.592 80.144638 1.2799296906354813 0.8136151
2023 2 2.5 4.011611667 7.895404 -9999.0 -9999.0 -0.0767 81.59481 1.1303333973061136 0.8656366
2023 2 3.0 4.59604 10.09369 -9999.0 -9999.0 -0.837 84.857964 0.8798019265870156 0.8399734
2023 2 3.5 3.317505833 3.149049 -9999.0 -9999.0 -1.333123 85.820305 0.7944786799673675 0.9804537
2023 2 4.0 -9999.0 18.42983 -9999.0 -9999.0 -1.608363 85.195358 0.8128827913642898 -9999.0
2023 2 4.5 5.108264167 14.81975 -9999.0 -9999.0 -1.770571 83.432129 0.8988968506782129 -9999.0
2023 2 5.0 5.152633333 11.12804 -9999.0 -9999.0 -1.833575 83.18364 0.908152151836469 -9999.0
2023 2 5.5 3.7620375 10.29752 -9999.0 -9999.0 -1.982127 83.361885 0.8887343246779729 -9999.0
2023 2 6.0 4.828545833 10.31757 -9999.0 -9999.0 -2.1034639 85.046616 0.7916186269499068 -9999.0
2023 2 6.5 3.17749 2.969003 -9999.0 -9999.0 -2.290709 85.921249 0.7350687371187616 0.9991766
2023 2 7.0 3.631685 0.7970642 -9999.0 -9999.0 -2.383153 85.923714 0.7299278945299879 -9999.0
2023 2 7.5 3.73048 4.465176 -9999.0 -9999.0 -2.490248 85.721115 0.7345821466530147 -9999.0
2023 2 8.0 3.860420833 3.871328 -9999.0 -9999.0 -2.496886 84.982544 0.7721981581530919 0.9365966
2023 2 8.5 3.688374167 -0.1958564 -9999.0 -9999.0 -2.4896569 84.020912 0.8220856905467064 1.020453
2023 2 9.0 3.10024 2.015788 -9999.0 -9999.0 -2.4871171 83.460403 0.8510827288808143 0.9603726
2023 2 9.5 4.740915 6.020972 -9999.0 38.9895 -2.5191021 83.324852 0.8560258105958791 -9999.0
2023 2 10.0 4.855151667 7.068095 -9999.0 78.8591 -2.521255 82.97625 0.8737819664054447 0.980211
2023 2 10.5 1.827586667 -1.940575 -9999.0 167.7071 -2.68327 84.558884 0.7830806537135917 0.8859738
2023 2 11.0 2.242191667 -5.978389 -9999.0 192.8504 -2.8064749 85.934258 0.706831928654009 0.9334925
2023 2 11.5 2.519433333 -3.429568 -9999.0 214.0282 -2.891026 86.576775 0.6703175812367794 0.8953587
2023 2 12.0 3.0526225 -2.510478 -9999.0 204.5308 -2.96681 87.439232 0.6237227470741464 0.9850221
