DoY,u*,H,lE,NEE,PPFD,Ta,VPD,PPFD_gapfilling,Ta_gapfilling,VPD_gapfilling,period
--,m s-1,W m-2,-,umol m-2 s-1,umol m-2 s-1,oC,kPa,umol m-2 s-1,oC,kPa,--
1.46,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,1
1.47,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,1
2.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,1
2.01,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,1
2.02,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,1
2.03,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,1
2.04,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,1
2.05,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,1
2.06,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,1
2.07,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,1
2.08,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,1
2.09,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,1
2.1,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,1
2.11,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,1
2.12,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,1
2.13,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,1
2.14,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,1
2.15,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,1
2.16,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,1
2.17,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,1
2.18,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,1
2.19,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,1
2.2,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,1
2.21,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,-99999.0,1
2.22,-99999.0,-99999.0,-99999.0,-99999.0,205.2340425531915,-3.13,0.0,205.2340425531915,-3.13,0.0,1
2.23,0.146718,-28.908,-99999.0,-99999.0,219.06382978723406,-3.0,0.0,219.06382978723406,-3.0,0.0,1
2.24,0.248021,-26.3322,-99999.0,-99999.0,253.51063829787236,-2.78,0.0,253.51063829787236,-2.78,0.0,1
2.25,0.327162,-31.1227,-99999.0,-99999.0,296.29787234042556,-2.57,0.0,296.29787234042556,-2.57,0.0,1
2.26,0.593121,-99999.0,-4.48943,2.04931,234.29787234042556,-2.63,0.0,234.29787234042556,-2.63,0.0,1
2.27,0.467101,-25.7672,-1.33674,-99999.0,257.6595744680851,-2.56,0.0,257.6595744680851,-2.56,0.0,1
2.28,0.546044,-83.6424,-99999.0,-99999.0,340.0638297872341,-2.21,0.0,340.0638297872341,-2.21,0.0,1
2.29,0.166297,-21.3543,0.947748,0.18189999999999998,309.3617021276596,-1.88,0.020000000174599464,309.3617021276596,-1.88,0.020000000174599464,1
2.3,0.136067,-21.3766,-1.78783,0.425149,248.42553191489364,-1.83,0.040000000224622134,248.42553191489364,-1.83,0.040000000224622134,1
2.31,0.167088,-22.9537,-2.42369,0.3629,141.46808510638297,-1.84,0.030000000055133924,141.46808510638297,-1.84,0.030000000055133924,1
