Year,Month,DoM,DoY,NEE_f,NEE_sqc,LE_f,LE_sqc,H_f,H_sqc,Rg_f,Rg_sqc,VPD_f,VPD_sqc,rH_f,rH_sqc,Tair_f,Tair_sqc,GPP_f,Reco
--,--,--,--,umolm-2s-1,--,Wm-2,--,Wm-2,--,Wm-2,--,hPa,--,%,--,degC,--,umolm-2s-1,umolm-2s-1
2023,1,1,1,1.66147349565299,0.74468085106383,0.517326132610681,0.595744680851064,-41.3056437617359,0.361702127659574,4.40288979480894,0.595744680851064,0.00149433059034342,0.957446808510638,100,1,3.99475177304255,1,1.19217122782417,2.85364472347716
2023,1,2,2,1.11849762045455,0.833333333333333,6.212292625,0.9375,-22.7473708779762,0.8125,48.2048900172929,0.3125,0.0694827133654476,0.979166666666667,98.6572916664583,1,-1.91958333327083,1,0.64097212927385,1.7594697497284
2023,1,3,3,1.34617063712787,0.645833333333333,1.95263606951209,0.75,-33.1241488584055,0.645833333333333,11.4371594282421,0.479166666666667,0.00295006573549281,0.916666666666667,99.991319444375,1,0.3805555555,1,0.819522251767239,2.16569288889511
2023,1,4,4,0.561041681641738,0.6875,3.487481796875,0.979166666666667,-19.9777395833333,0.979166666666667,9.28429990413734,0.333333333333333,0.118362759819348,1,97.6188530414583,1,-3.01461111110417,1,1.11378424119784,1.67482592283958
2023,1,5,5,0.370688171924603,0.854166666666667,5.27534331041667,1,2.28260454166667,0.979166666666667,12.1165917709816,0.333333333333333,0.27193282077799,1,91.385122054375,1,-7.93759722227083,1,0.850057471421274,1.22074564334588
2023,1,6,6,0.780500788020833,0.895833333333333,0.459423086805556,0.958333333333333,-2.53017499758618,0.854166666666667,50.5452241126119,0.354166666666667,0.203130005959844,1,82.3314360872917,1,-21.1700000002083,1,-0.661588998833047,0.118911789187786
2023,1,7,7,0.759064172357504,0.583333333333333,0.315806600099206,0.9375,0.35844481950983,0.0833333333333333,66.4139317774285,0.3125,0.21008697658743,1,82.2375495447917,1,-20.8453472225,1,-0.591697866605829,0.167366305751675
2023,1,8,8,0.761207495601852,0.9375,0.237777686111111,0.958333333333333,-2.37665952314815,0.375,50.5109329211667,0.3125,0.228537343520654,1,84.2117441808333,1,-18.4015972227083,1,-0.454355159768518,0.306852335833334
2023,1,9,9,0.505888656944444,0.958333333333333,8.42599521458333,0.979166666666667,-13.3333584416667,0.6875,14.5383225231057,0.3125,0.4093247406767,1,82.309663745,1,-13.1406250002083,1,0.242255235440212,0.748143892384656
2023,1,10,10,0.366704989558532,0.8125,28.67170375,1,-11.9982307833727,0.1875,11.2389772654577,0.291666666666667,1.04031593404929,1,72.9242530164583,1,-7.62270138908333,1,1.26357174825818,1.63027673781672
2023,1,11,11,0.208330210548811,0.875,20.2457277427598,0.541666666666667,0.758422197777442,0.1875,12.4765913207216,0.3125,0.618780814270667,1,81.0385799091667,1,-8.940298611125,1,1.09950749562908,1.30783770617789
2023,1,12,12,0.464431850157077,0.958333333333333,4.5281758052662,0.4375,2.91353071819547,0.0416666666666667,10.1894448465962,0.3125,0.335965631103738,1,90.2810507179167,1,-7.67815972227083,1,1.01848725804239,1.48291910819947
2023,1,13,13,0.486166297682614,0.541666666666667,1.33406219097222,0.791666666666667,-2.65482932662533,0.0625,8.23019165966267,0.291666666666667,0.175683856341359,1,95.7604104170833,1,-5.29149305560417,1,1.40291058242917,1.88907688011179
2023,1,14,14,0.347511830709064,0.25,-0.94324714098168,0.5625,-7.6495367294542,0,6.79157338190358,0.291666666666667,0.120388898411442,1,97.4752844827083,1,-3.32740277777083,1,1.89168024474156,2.23919207545062
2023,1,15,15,0.323078486148185,0.208333333333333,-6.06126896333019,0.666666666666667,-5.97531920913874,0,9.2587630976249,0.291666666666667,0.0561636927151267,1,98.9601463358333,1,-1.74404861104167,1,2.19055410785181,2.51363259399999
2023,1,16,16,0.259733080778049,0.770833333333333,0.8562406375,0.895833333333333,-8.03252712421104,0.416666666666667,8.70799979560969,0.333333333333333,0.201571930862724,1,96.0362855847917,1,-2.46462499997917,1,2.00919129206433,2.26892437284238
2023,1,17,17,0.663470342907118,0.833333333333333,-0.250034138671119,0.875,-6.13184240724206,0.666666666666667,9.33279031271561,0.291666666666667,0.150116871337824,1,97.2431978441667,1,-1.12970833335417,1,1.81512423753887,2.47859458044599
2023,1,18,18,0.873178001974725,0.604166666666667,0.515919317409004,0.875,-13.9431900542974,0.4375,4.25002767299355,0.25,0.00745555309085325,1,99.882272556875,1,1.44088888889583,1,2.08147239965109,2.95465040162581
2023,1,19,19,0.585569806313185,0.5625,9.20434405301491,0.895833333333333,-20.0636206480141,0.333333333333333,10.2275908514129,0.3125,0.463791791535172,0.979166666666667,94.0430188972917,1,2.58572916664583,1,2.52876811054662,3.1143379168598
2023,1,20,20,0.725919398148148,0.9375,-1.15643298735119,0.916666666666667,-24.31720375,0.979166666666667,4.16752316968818,0.270833333333333,1.01770443923973e-16,0.958333333333333,100,1,3.95284722222917,1,2.5821180221638,3.30803742031195
2023,1,21,21,1.17502804166667,1,1.4021453125,0.958333333333333,-13.6259366111111,0.958333333333333,7.1628127729072,0.291666666666667,0.00854138934156517,0.854166666666667,99.99361111125,1,0.789583333291667,1,1.30482806667264,2.4798561083393
2023,1,22,22,0.640611812443633,0.833333333333333,3.24840866666667,1,-1.56656985625,0.979166666666667,31.5832476448308,0.333333333333333,0.058823563801453,0.979166666666667,98.744027778125,1,-4.42402777785417,1,0.818904622541597,1.45951643498523
